trial_name,first_contact_row,takeoff_row,second_contact_row,ground_contact_time,flight_time_ms,jump_height,rsi,trial_height,drop_time,est_step_off,max_ch1_rms_pre,max_ch2_rms_pre,max_ch1_rms_pre_row,max_ch2_rms_pre_row,ch1_preactivation,ch2_preactivation,max_ch1_rms_ground,max_ch2_rms_ground,max_ch1_rms_ground_row,max_ch2_rms_ground_row,ch1_ground_activation,ch2_ground_activation,ch1_percent_preactivation,ch2_percent_preactivation
Dynamic2,7002,7654,8715,652,1061,1.38041537625,2.1172014973159508,0.3937,283.31,6718,2.4182735804634612e-05,0.0002964230176802534,7002,6969,0,33,0.00011037348464534857,0.0002808847921796083,7514,7506,512,504,41,206
Dynamic3,5265,5845,6848,580,1003,1.2336185362499996,2.1269285107758615,0.3937,283.31,4981,1.981467178248541e-05,0.0002810118517928853,5265,5233,0,32,0.0001323849098906483,0.0003120739756499587,5723,5686,458,421,225,283
Dynamic4,9786,10486,11506,700,1020,1.2757905,1.8225578571428573,0.3937,283.31,9502,1.0640930327402897e-05,0.0002882321077041118,9708,9749,78,37,0.00011023314082733342,0.0004059658330791275,10262,10350,476,564,170,212
Dynamic5,5512,6226,7266,714,1040,1.3263120000000002,1.8575798319327734,0.3937,283.31,5228,2.3333552371892135e-05,0.00023004274858058304,5512,5480,0,32,8.421119409416795e-05,0.0002583576487295255,5987,6057,475,545,51,267
Dynamic6,3959,4436,5438,477,1002,1.231159905,2.5810480188679246,0.3937,283.31,3675,2.664534401464243e-05,0.00014270239129743472,3922,3828,37,131,8.9999426038669e-05,0.0002493800049225274,4227,4296,268,337,142,254
Dynamic7,3911,4374,5256,463,882,0.9539293050000002,2.0603224730021603,0.3937,283.31,3627,2.505282375863305e-05,0.0002904636964871603,3911,3892,0,19,6.687932488607762e-05,0.000309842374293691,4140,4281,229,370,29,231
Dynamic8,3456,3947,4842,491,895,0.9822569062500001,2.0005232306517313,0.3937,283.31,3172,1.9585252026942355e-05,0.00030920615647571137,3456,3423,0,33,8.269032838450673e-05,0.0003048415770039216,3698,3459,242,3,201,167
Dynamic9,4233,4685,5628,452,943,1.09044158625,2.41248138550885,0.3937,283.31,3949,7.2969536366517255e-06,0.0002185477158914029,4233,4229,0,4,6.667335084652863e-05,0.000298188577837282,4501,4467,268,234,37,242
Dynamic10,3819,4276,5159,457,883,0.95609363625,2.092108613238512,0.3937,283.31,3535,2.2190284957847377e-05,0.00021931407209360498,3819,3769,0,50,6.406801232296028e-05,0.00028929429213572685,4063,4151,244,332,57,237
Dynamic11,4021,4448,5322,427,874,0.9367029450000001,2.193683711943794,0.3937,283.31,3737,1.4919808167791729e-05,0.00023532670545686025,4021,4021,0,0,0.00010217661796145809,0.0003130722341168407,4255,4352,234,331,64,251
Dynamic12,4728,5254,6162,526,908,1.01099898,1.9220512927756654,0.7366,387.52,4340,4.550698332098982e-05,0.00022576599862839553,4728,4704,0,24,8.357816761857957e-05,0.00045380628967851594,5085,5117,357,389,334,313
Dynamic13,4484,4984,5902,500,918,1.0333903050000002,2.0667806100000004,0.7366,387.52,4096,2.1348825446517385e-05,0.0002937961532515518,4484,4473,0,11,7.524437866682537e-05,0.0002820539843854039,4982,4484,498,0,72,226
Dynamic14,4974,5465,6374,491,909,1.0132270762500002,2.0635989332993896,0.7366,387.52,4586,2.939172793862988e-05,0.000276152257116082,4972,4949,2,25,0.00010070880629690271,0.0003310867698729641,5230,5325,256,351,101,304
Dynamic15,4514,4996,5866,482,870,0.9281486250000001,1.925619553941909,0.7366,387.52,4126,3.1642721325354915e-05,0.00025872509679761817,4507,4458,7,56,6.30464622797984e-05,0.0003266353014197447,4792,4590,278,76,116,293
Dynamic16,4699,5216,6020,517,804,0.7926676200000001,1.5332062282398455,0.7366,387.52,4311,2.0132561100742542e-05,0.0002547404369239695,4696,4605,3,94,4.8406986548038016e-05,0.0002886957642509838,4921,5092,222,393,61,232
Dynamic17,4282,4806,5699,524,893,0.9778718362500002,1.866167626431298,0.7366,387.52,3894,2.7481636965785696e-05,0.00023493332800076825,4282,4243,0,39,7.961481982818897e-05,0.0003804065646791867,4490,4637,208,355,334,328
Dynamic18,4492,5033,5870,541,837,0.85907273625,1.5879348174676524,0.7366,387.52,4104,8.896472355257116e-06,0.0002833605898574777,4489,4468,3,24,4.8019033989560694e-05,0.0003524708927661738,4910,4862,418,370,323,251
Dynamic19,4046,4554,5396,508,842,0.8693671049999999,1.7113525688976376,0.7366,387.52,3658,2.2592965780898315e-05,0.0002432630774216237,4043,3960,3,86,5.934735919199052e-05,0.00025237185115648046,4371,4415,325,369,60,277
Dynamic20,4643,5183,6082,540,899,0.9910564762500002,1.8352897708333336,0.7366,387.52,4255,2.5254621115094845e-05,0.00019457842005373257,4643,4609,0,34,6.287541532746392e-05,0.00033012534586095274,4981,5048,338,405,59,245
Dynamic21,4830,5360,6260,530,900,0.9932625000000002,1.8740801886792455,0.7366,387.52,4442,2.3651164041821926e-05,0.00033353891228734433,4830,4783,0,47,6.28296905217494e-05,0.000281239997971345,5147,5191,317,361,67,189
